average_price,loupan_type,loupan_detailAddress,loupan_title,loupan_region
25500,商铺,长沙县-香樟东路延伸线黄江公路（黄兴镇镇政府旁）,武广新都城,长沙县
26000,商铺,雨花-香樟路469号,融创前海中心,雨花
13000,写字楼,芙蓉-芙蓉区车站中路与人民中路交汇处（长沙火车站往南300米）,宇成朝阳广场,芙蓉
14000,写字楼,长沙县-经济开发区星沙大道与滨湖路交汇处东南角（松雅湖畔）,未来漫城,长沙县
14800,商铺,望城-丁字镇太阳山路388号,湾田国际,望城
32000,商铺,开福-芙蓉中路一段88号,天健壹平方英里,开福
14800,商铺,望城-丁字镇太阳山路388号,湾田国际,望城
21000,写字楼,开福-芙蓉中路一段303号,富兴世界金融中心,开福
100000,商铺,开福-芙蓉中路一段303号,富兴世界金融中心,开福
10080,写字楼,雨花-雨花区高桥朝晖路55号（长沙海关东侧）,金鸿宇国际商业广场,雨花
20000,商铺,望城-望城星城镇杨峰村桑梓村,CROSS尚公馆,望城
22000,写字楼,岳麓-滨江路53号,楷林国际,岳麓
13000,写字楼,岳麓-西二环与枫林路交汇处,长沙西中心,岳麓
15500,写字楼,岳麓-潇湘北路三段859号,福晟国际金融中心,岳麓
15000,写字楼,岳麓-茶子山东路112号,滨江金融中心,岳麓
35000,商铺,岳麓-潇湘北路三段1060号,万科里金域国际,岳麓
15500,商铺,岳麓-潇湘北路三段859号,福晟国际金融中心,岳麓
20000,商铺,天心-书香路759号,北辰中央公园,天心
12800,写字楼,岳麓-谷丰南路9号,高信向日葵广场,岳麓
22000,写字楼,开福-芙蓉中路一段416号,泊富国际广场,开福
12000,写字楼,天心-湘府西路31号,鑫远国际大厦,天心
8500,写字楼,天心-雀园路568号,创谷,天心
23000,商铺,岳麓-桐梓坡西路138号,长房时代城,岳麓
14000,写字楼,岳麓-桐梓坡西路138号,长房时代城,岳麓
7800,写字楼,开福-四方坪双拥路9号,长城万富汇,开福
17000,写字楼,开福-芙蓉中路一段319号,绿地中心,开福
18500,写字楼,雨花-雨花韶山路355号（雨花亭北公交站以北）,顺天国际金融中心,雨花
12000,写字楼,天心-南湖路458号,蓝湾国际广场,天心
40000,商铺,雨花-雨花区高桥朝晖路55号（长沙海关东侧）,金鸿宇国际商业广场,雨花
12000,写字楼,天心-天心区芙蓉中路神农大酒店西150米（雅礼天心中学正对面）,荣悦台,天心
12000,商铺,天心-天心区芙蓉中路神农大酒店西150米（雅礼天心中学正对面）,荣悦台,天心
30000,商铺,开福-四方坪双拥路9号,长城万富汇,开福
60000,商铺,长沙县-经济开发区星沙一桥南（明城国际大酒店一楼）,中茂城,长沙县
15000,商铺,望城-望城金星北路与银星路交汇处东北角（好来坞购物广场南侧）,玛丽的花园,望城
16000,商铺,芙蓉-芙蓉区车站中路与人民中路交汇处（长沙火车站往南300米）,宇成朝阳广场,芙蓉
80000,商铺,芙蓉-芙蓉区车站北路与火炬路交汇处（烈士公园东门对面）,大汉海派,芙蓉
14888,写字楼,雨花-湘府中路18号,德思勤城市广场,雨花
12000,写字楼,雨花-雨花区韶山南路与正塘坡路交汇处（中建大厦旁）,中建苹果公寓,雨花
10000,商铺,雨花-联圭路169号,中建嘉和城,雨花
12000,商铺,天心-天心区中意二路177号,中海新城熙岸,天心
22000,商铺,雨花-韶山南路汇金路269号,昌胜七里香榭,雨花
17500,商业类,天心-湘江中路二段18号,江与城,天心
15000,写字楼,芙蓉-芙蓉区远大一路730号,东盈商业广场,芙蓉
11000,商业类,芙蓉-芙蓉区远大一路730号,东盈商业广场,芙蓉
15000,商铺,望城-雷锋大道金地三千府,金地三千府,望城
6500,商业类,岳麓-岳麓区长沙绕城高速九龙领仕汇,九龙领仕汇,岳麓
50000,商铺,芙蓉-远大二路725号,汇一广场,芙蓉
60000,商铺,雨花-雨花区湘府路与韶山路交汇处,复地星光天地,雨花
600,别墅,开福-开福区太阳山路与青竹湖路交汇处东北角（湘一学校斜对面）,青竹湖曦园,开福
258,别墅,望城-望城区银星路555号,龙湖璟宸原著,望城
12000,住宅,岳麓-岳麓区梅溪湖环湖路与近湖七路交汇处西北角（梅溪湖沙滩公园旁）,卓越浅水湾,岳麓
14000,住宅,开福-开福湘江北路3段1388号（湘江北路与浏阳河交汇处东北角）,恒大御景半岛,开福
6540,住宅,望城-望城区普瑞大道二段888号,富基世纪公园,望城
240,住宅,雨花-雨花区时代阳光大道（省植物园南）,欧莱雅郡,雨花
15500,住宅,芙蓉-芙蓉区蔡锷路189号,五一钻界海上银座,芙蓉
9000,住宅,岳麓-岳麓区东方红路与东雷路交汇处西南角（步步高附近）,今时艺苑,岳麓
228,别墅,宁乡-宁乡县长常高速与岳临高速交汇处西北角（中国长沙长常高速关山出口）,碧桂园山水桃园,宁乡
7200,住宅,岳麓-岳麓区咸嘉湖西路388号,翡翠华庭,岳麓
264,别墅,开福-开福区福元西路与车站北路交汇处东南角,五矿沁园金城,开福
13000,住宅,雨花-雨花区劳动东路299号 鑫天鑫城小区入口处（卷烟厂对面）,建发中央悦府,雨花
7700,住宅,雨花-雨花区时代阳光大道330号,博长山水香颐,雨花
6900,住宅,望城-望城区金星北路208号,时代倾城,望城
8300,商业类,天心-天心区猴子石路288号,泰龙华府,天心
11600,住宅,岳麓-岳麓区梅溪湖北路与雷锋西大道交汇处西南角（梅溪湖北岸）,振业城,岳麓
9500,住宅,天心-天心区新姚北路与木莲西路交汇处西南角（湖南机床厂对面）,水墨林溪,天心
10000,住宅,芙蓉-芙蓉区人民东路与望龙路交汇处西南角（红旗路口公交站附近）,中房瑞致国际,芙蓉
8000,住宅,雨花-雨花区木莲东路68号（雨花区政府东南侧）,天晟海拔东方,雨花
13000,住宅,雨花-雨花区韶山中路744号（桔园小区对面）,拿铁空间,雨花
6500,住宅,望城-望城区银杉路与普瑞大道交汇处东南角,勤诚达境界城,望城
12000,住宅,雨花-雨花区劳动东路与花侯路交汇处（恒大绿洲对面）,明昇壹城,雨花
8500,住宅,雨花-雨花时代阳光大道与京珠高速交汇处东北角,碧桂园南城首府,雨花
